ID	Lat	Lon
3824	47.76687501	-122.3468001
3814	47.76130447	-122.2512376
3857	47.75632505	-122.33545009999999
3818	47.75684519	-122.1514582
3813	47.74105157	-122.18827749999998
3784	47.71076249	-122.2073277
3816	47.75910928	-122.25944550000001
3767	47.74283823	-121.9850608
3897	47.67838303	-122.3180999
3812	47.71675696	-122.18820190000001
3802	47.6367115	-122.23793290000002
3805	47.63297501	-122.1356041
3809	47.62125823	-122.22839779999998
3803	47.61722572	-122.2110473
3798	47.5869414	-122.19017360000001
3893	47.58249446	-122.0363422
3800	47.58075463	-122.15205890000001
3820	47.5717124	-122.3648648
3797	47.56442742	-122.17051040000001
3795	47.5570661	-122.18884950000002
3793	47.58885848	-122.23152590000001
3788	47.48220004	-122.2690001
3790	47.47295973	-122.2136065
3895	47.54056369	-122.06213580000001
3826	47.4519	-122.46000009999999
3905	47.44356999	-122.1552298
3786	47.38494952	-122.24309140000001
3787	47.469291	-122.33810940000001
3757	47.38355765	-122.2340613
3861	47.36102575	-122.1659783
3810	47.42308358	-122.46101259999999
3789	47.39655764	-122.0449848
3779	47.28916911	-122.32229869999999
3783	47.35868759	-122.29854950000001
3883	47.52707263	-121.9373973
3879	47.54511785	-122.0193897
3781	47.3122079	-122.30148899999999
9	47.73071527	-122.33139240000001
10	47.72898117	-122.32681950000001
11	47.72866693	-122.31909240000002
12	47.72305572	-122.3153716
26	47.71689485	-122.31529350000001
27	47.71732991	-122.32125900000001
28	47.71709514	-122.3270267
29	47.71835935	-122.3332206
43	47.70868587	-122.35366670000002
44	47.70658867	-122.34680949999999
45	47.70718494	-122.34199309999998
5	47.73049875	-122.3429814
7	47.72594567	-122.34230349999999
16	47.72221248	-122.2995003
25	47.71581178	-122.3100462
30	47.7141189	-122.33671240000001
39	47.70225342	-122.3830481
41	47.70411515	-122.3634632
48	47.710007	-122.32015990000002
50	47.71031476	-122.3093472
55	47.70784507	-122.28289720000001
57	47.70144347	-122.28088500000001
64	47.69871585	-122.30830060000001
75	47.70325225	-122.34270009999999
80	47.69988905	-122.3573351
82	47.69636209	-122.3677872
89	47.69334469	-122.36333929999999
46	47.71011654	-122.33231529999999
60	47.70636564	-122.2999261
61	47.69925637	-122.29736329999999
62	47.70544887	-122.30366869999999
63	47.7056074	-122.30949869999999
76	47.69938595	-122.34296119999999
77	47.70325679	-122.3466041
78	47.69963585	-122.34653329999999
79	47.70139802	-122.3535499
93	47.69351533	-122.34174180000001
94	47.69323029	-122.3327602
95	47.69314675	-122.3260383
96	47.69316297	-122.3195149
111	47.68447862	-122.28745790000002
112	47.68844113	-122.2933462
113	47.68486019	-122.29323959999999
126	47.68470499	-122.3265886
127	47.68863166	-122.3327821
128	47.68503248	-122.3320142
129	47.68875987	-122.34158390000002
143	47.68873593	-122.37893079999999
146	47.68498703	-122.3854375
162	47.6813888	-122.3741376
163	47.67776768	-122.3743538
176	47.67713272	-122.32768290000001
178	47.68062241	-122.3223534
179	47.68070205	-122.31856289999999
180	47.67766736	-122.3189173
193	47.68133751	-122.28287069999999
195	47.68122001	-122.27702009999999
196	47.67743887	-122.2767629
210	47.67396472	-122.2933388
211	47.67032964	-122.29321429999999
212	47.67396106	-122.2985362
213	47.66984045	-122.2984525
227	47.67391935	-122.3328075
228	47.66994973	-122.33382420000001
229	47.67113654	-122.3382869
243	47.674201000000004	-122.38554209999998
244	47.67013705	-122.38540590000001
245	47.67414458	-122.3897601
246	47.67020527	-122.39000459999998
260	47.66650963	-122.3681705
261	47.66340707	-122.36777749999999
1	47.72659487	-122.36679050000001
3	47.73123802	-122.35027029999999
18	47.72353395	-122.2947382
19	47.73011763	-122.2897159
20	47.72230656	-122.2901334
21	47.71190331	-122.2791272
34	47.72137856	-122.3533956
35	47.71557122	-122.3529297
36	47.7211729	-122.3578186
37	47.71547262	-122.3575977
51	47.71074915	-122.30258970000001
52	47.71012464	-122.29938119999998
98	47.69184768	-122.3092081
100	47.69444448	-122.30077849999999
105	47.68272876	-122.2597291
107	47.68619444	-122.27531189999999
109	47.68448816	-122.2820108
114	47.68819704	-122.2986159
116	47.68838639	-122.304138
125	47.68899872	-122.3244264
134	47.6851185	-122.3531395
139	47.68878224	-122.36870400000001
141	47.68906224	-122.3746669
148	47.68494845	-122.38969669999999
150	47.68491572	-122.39670690000001
159	47.67784597	-122.3851048
164	47.68140481	-122.36874540000001
