noedId	Lat	Lon
1	37.7094935043	-122.413689286
2	37.7092103581	-122.463686768
3	37.709776641	-122.420985088
4	37.7094815356	-122.456870132
5	37.709835118	-122.416650547
6	37.7098764935	-122.408485698
7	37.7114752648	-122.418912902
8	37.7101714247	-122.433713139
9	37.7106558516	-122.452549816
10	37.7119378183	-122.459050753
11	37.7120876609	-122.440368123
12	37.7128056854	-122.419691898
13	37.7119161112	-122.449101195
14	37.7122347973	-122.43570588
15	37.7128027412	-122.404917332
16	37.7114527062	-122.466847167
17	37.7129788437	-122.413201871
18	37.7140441684	-122.408927214
19	37.7139548224	-122.44070069
20	37.714689552	-122.459098149
21	37.7151931635	-122.436733507
22	37.7141223685	-122.447813231
23	37.7161208052	-122.405456175
24	37.7144808599	-122.469107963
25	37.7162873852	-122.464957213
26	37.7169152774	-122.45434471
27	37.7159658148	-122.400814466
28	37.7146853963	-122.452864693
29	37.7171403011	-122.459701495
30	37.7180868641	-122.404805612
31	37.716883621	-122.482855137
32	37.716675815	-122.443380136
33	37.7169324725	-122.434018782
34	37.7173262737	-122.479701767
35	37.7191312631	-122.455630731
36	37.719740236	-122.40403083
37	37.7180868589	-122.429714813
38	37.7185181673	-122.446333614
39	37.7187294812	-122.437169214
40	37.719817725	-122.464268865
41	37.720031458	-122.460726446
42	37.7206511609	-122.469315485
43	37.7196160469	-122.449948404
44	37.720466649	-122.400857117
45	37.7212473114	-122.454301321
46	37.7215046068	-122.443641593
47	37.7212799924	-122.427713546
48	37.7210588563	-122.438980792
49	37.7217083962	-122.408251683
50	37.7219898143	-122.433589977
51	37.7231284033	-122.403515146
52	37.7206624257	-122.48324645
53	37.7229010607	-122.456480557
54	37.7233600742	-122.46080206
55	37.7246557695	-122.441130823
56	37.7251538416	-122.436375517
57	37.7259939054	-122.403628465
58	37.7250158579	-122.430978089
59	37.7240047247	-122.466038427
60	37.7263778393	-122.421111339
61	37.7251228625	-122.424774546
62	37.7273852832	-122.428180475
63	37.726472229	-122.408045557
64	37.7276216587	-122.417675964
65	37.7262417547	-122.449181773
66	37.7277706612	-122.434419844
67	37.728795882	-122.384271181
68	37.7290397453	-122.3897005
69	37.7293219294	-122.426361989
70	37.7294359608	-122.411271896
71	37.7301335069	-122.443544695
72	37.7303891042	-122.423185809
73	37.7302875681	-122.450072984
74	37.7309177876	-122.388008243
75	37.7306183443	-122.416452854
76	37.7313011096	-122.393873574
77	37.7307802802	-122.43316664
78	37.7325905177	-122.437153308
79	37.7302543429	-122.405449062
80	37.7327131503	-122.429517127
81	37.7314480044	-122.495613891
82	37.7324220976	-122.457463061
83	37.7318256911	-122.491244292
84	37.7322432123	-122.487190438
85	37.7327471064	-122.482774901
86	37.7328485585	-122.477532725
87	37.7335669159	-122.418747476
88	37.7339326093	-122.4249847
89	37.7326670412	-122.40111417
90	37.7363585911	-122.422960173
91	37.7335475248	-122.462595792
92	37.7334473024	-122.409338381
93	37.7351861396	-122.496440755
94	37.7363968399	-122.428977034
95	37.7338882599	-122.444153806
96	37.736729115	-122.415280577
97	37.7362549664	-122.437433745
98	37.7373707216	-122.418318559
99	37.7367604103	-122.503594794
100	37.7369634323	-122.413146268
101	37.7387512723	-122.427363743
102	37.7388867854	-122.422009477
103	37.7382843313	-122.462009567
104	37.7410272244	-122.426896194
105	37.7409376986	-122.419740106
106	37.738496997	-122.50015214
107	37.7427814961	-122.426298682
108	37.7421361472	-122.422231662
109	37.7415466528	-122.463627803
