trip_id	route_id	type	startTime	Capacity	shape_id
5116558	7767	3	164800	63	90131
5116557	7767	3	164100	63	90131
5116556	7767	3	163400	63	90131
5116555	7767	3	162700	63	90131
5116554	7767	3	162000	63	90131
5116553	7767	3	161300	63	90131
5116434	7767	3	160600	63	90131
5116432	7767	3	155900	63	90131
5116431	7767	3	155200	63	90131
5116598	7767	3	154000	63	90131
5116595	7767	3	152500	63	90131
5116592	7767	3	151000	63	90131
5116589	7767	3	145500	63	90131
5116586	7767	3	144000	63	90131
5116485	7767	3	95700	63	90131
5116575	7767	3	93200	63	90131
5116464	7767	3	91700	63	90131
5116477	7767	3	90000	63	90131
5116476	7767	3	85300	63	90131
5116460	7767	3	84200	63	90131
5116459	7767	3	83500	63	90131
5116458	7767	3	82800	63	90131
5116457	7767	3	82100	63	90131
5116456	7767	3	81400	63	90131
5116455	7767	3	80700	63	90131
5116549	7767	3	182200	63	90134
5116548	7767	3	181500	63	90134
5116547	7767	3	180800	63	90134
5116546	7767	3	180100	63	90134
5116545	7767	3	175400	63	90134
5116544	7767	3	174700	63	90134
5116566	7767	3	174400	63	90134
5116578	7767	3	174000	63	90134
5116542	7767	3	173300	63	90134
5116541	7767	3	172600	63	90134
5116540	7767	3	171900	63	90134
5116539	7767	3	171200	63	90134
5116538	7767	3	170500	63	90134
5116537	7767	3	165800	63	90134
5116536	7767	3	165100	63	90134
5116535	7767	3	164400	63	90134
5116534	7767	3	163700	63	90134
5116533	7767	3	163000	63	90134
5116532	7767	3	162300	63	90134
5116531	7767	3	161600	63	90134
5116530	7767	3	160900	63	90134
5116433	7767	3	160200	63	90134
5116577	7767	3	155500	63	90134
5116430	7767	3	154800	63	90134
5116599	7767	3	154400	63	90134
5116576	7767	3	184000	63	90131
5116573	7767	3	183300	63	90131
5116572	7767	3	182600	63	90131
5116571	7767	3	181800	63	90131
5116570	7767	3	181200	63	90131
5116569	7767	3	180500	63	90131
5116568	7767	3	175800	63	90131
5116567	7767	3	175100	63	90131
5116565	7767	3	173700	63	90131
5116564	7767	3	173000	63	90131
5116563	7767	3	172300	63	90131
5116562	7767	3	171600	63	90131
5116561	7767	3	170900	63	90131
5116560	7767	3	170200	63	90131
5116559	7767	3	165500	63	90131
5116508	7767	3	120000	63	90134
5116507	7767	3	115500	63	90134
5116506	7767	3	115000	63	90134
5116505	7767	3	114500	63	90134
5116504	7767	3	114000	63	90134
5116503	7767	3	113500	63	90134
5116502	7767	3	113000	63	90134
5116501	7767	3	112500	63	90134
5116500	7767	3	112000	63	90134
5116499	7767	3	111500	63	90134
5116498	7767	3	111000	63	90134
5116497	7767	3	110500	63	90134
5116496	7767	3	110000	63	90134
5116495	7767	3	105500	63	90134
5116494	7767	3	105000	63	90134
5116493	7767	3	104500	63	90134
5116492	7767	3	104000	63	90134
5116491	7767	3	103500	63	90134
5116490	7767	3	103000	63	90134
5116489	7767	3	102500	63	90134
5116604	7767	3	102000	63	90134
5116603	7767	3	101500	63	90134
5116488	7767	3	101000	63	90134
5116487	7767	3	100500	63	90134
5116486	7767	3	100100	63	90134
5116454	7767	3	80000	63	90131
5116453	7767	3	75300	63	90131
5116452	7767	3	74600	63	90131
5116451	7767	3	73900	63	90131
5116389	7767	3	73200	63	90131
5116425	7767	3	250000	63	90134
5116424	7767	3	244000	63	90134
5116423	7767	3	242000	63	90134
5116422	7767	3	240000	63	90134
5116421	7767	3	234000	63	90134
5116420	7767	3	232000	63	90134
5116419	7767	3	230000	63	90134
5116418	7767	3	224000	63	90134
5116417	7767	3	222200	63	90134
5116416	7767	3	220700	63	90134
5116415	7767	3	215200	63	90134
5116414	7767	3	213700	63	90134
5116413	7767	3	212400	63	90134
5116412	7767	3	211100	63	90134
5116411	7767	3	205800	63	90134
5116410	7767	3	204500	63	90134
5116409	7767	3	203300	63	90134
5116408	7767	3	202100	63	90134
5116602	7767	3	200900	63	90134
5116407	7767	3	200000	63	90134
5116601	7767	3	195100	63	90134
5116406	7767	3	194300	63	90134
5116405	7767	3	193500	63	90134
5116404	7767	3	192800	63	90134
5116600	7767	3	192100	63	90134
5116403	7767	3	191500	63	90134
5116402	7767	3	190900	63	90134
5116401	7767	3	190300	63	90134
5116400	7767	3	185800	63	90134
5116399	7767	3	185300	63	90134
5116574	7767	3	184800	63	90134
5116552	7767	3	184400	63	90134
5116551	7767	3	183600	63	90134
5116550	7767	3	182900	63	90134
5116450	7767	3	74600	63	90137
5116449	7767	3	71100	63	90137
5116597	7767	3	153500	63	90134
5116596	7767	3	153000	63	90134
5116594	7767	3	152000	63	90134
5116593	7767	3	151500	63	90134
5116591	7767	3	150500	63	90134
5116590	7767	3	150000	63	90134
5116588	7767	3	145000	63	90134
5116587	7767	3	144500	63	90134
5116585	7767	3	143500	63	90134
5116584	7767	3	143000	63	90134
5116583	7767	3	142500	63	90134
5116582	7767	3	142000	63	90134
5116581	7767	3	141500	63	90134
5116580	7767	3	141000	63	90134
5116579	7767	3	140500	63	90134
5116429	7767	3	140000	63	90134
5116428	7767	3	135500	63	90134
5116427	7767	3	135000	63	90134
5116529	7767	3	134500	63	90134
5116528	7767	3	134000	63	90134
5116527	7767	3	133500	63	90134
5116526	7767	3	133000	63	90134
5116525	7767	3	132500	63	90134
5116524	7767	3	132000	63	90134
5116523	7767	3	131500	63	90134
5116522	7767	3	131000	63	90134
5116521	7767	3	130500	63	90134
5116520	7767	3	130000	63	90134
5116519	7767	3	125500	63	90134
5116518	7767	3	125000	63	90134
5116517	7767	3	124500	63	90134
5116516	7767	3	124000	63	90134
5116515	7767	3	123500	63	90134
5116514	7767	3	123000	63	90134
5116513	7767	3	122500	63	90134
5116512	7767	3	122000	63	90134
5116511	7767	3	121500	63	90134
5116510	7767	3	121000	63	90134
5116509	7767	3	120500	63	90134
5116703	7767	3	243600	63	90139
5116702	7767	3	230100	63	90139
5116701	7767	3	221900	63	90139
5116700	7767	3	214200	63	90139
5116699	7767	3	205700	63	90139
5116698	7767	3	202700	63	90139
5116822	7767	3	202600	63	90139
5116697	7767	3	201300	63	90139
5116820	7767	3	201200	63	90139
5116707	7767	3	200100	63	90139
5116711	7767	3	194800	63	90139
5116710	7767	3	193600	63	90139
5116821	7767	3	192400	63	90139
5116823	7767	3	185900	63	90139
5116484	7767	3	95300	63	90134
5116483	7767	3	94900	63	90134
5116482	7767	3	94500	63	90134
5116392	7767	3	94100	63	90134
5116391	7767	3	93700	63	90134
5116481	7767	3	92800	63	90134
5116465	7767	3	92400	63	90134
5116480	7767	3	92100	63	90134
5116479	7767	3	91400	63	90134
5116543	7767	3	91000	63	90134
5116478	7767	3	90700	63	90134
5116463	7767	3	90300	63	90134
5116462	7767	3	85600	63	90134
5116461	7767	3	84900	63	90134
5116475	7767	3	84600	63	90134
5116474	7767	3	83900	63	90134
5116473	7767	3	83200	63	90134
5116472	7767	3	82500	63	90134
5116471	7767	3	81800	63	90134
5116470	7767	3	81100	63	90134
5116469	7767	3	80400	63	90134
5116468	7767	3	75700	63	90134
5116467	7767	3	75000	63	90134
5116466	7767	3	74300	63	90134
5116390	7767	3	73600	63	90134
5116388	7767	3	72900	63	90134
5116387	7767	3	72400	63	90134
5116386	7767	3	71700	63	90134
5116385	7767	3	70900	63	90134
5116426	7767	3	70100	63	90134
5116398	7767	3	65100	63	90134
5116397	7767	3	64100	63	90134
5116396	7767	3	62900	63	90134
5116395	7767	3	61500	63	90134
5116394	7767	3	55500	63	90134
5116393	7767	3	52500	63	90134
5116448	7767	3	70100	63	90137
5116446	7767	3	64900	63	90137
5116447	7767	3	63500	63	90137
5116445	7767	3	63100	63	90137
5116444	7767	3	61500	63	90137
5116443	7767	3	61200	63	90137
5116442	7767	3	60800	63	90137
5116441	7767	3	60100	63	90137
5116440	7767	3	54300	63	90137
5116439	7767	3	53500	63	90137
5116438	7767	3	52300	63	90137
5116437	7767	3	51100	63	90137
5116436	7767	3	45300	63	90137
5116435	7767	3	42400	63	90137
5116706	7767	3	253200	63	90139
5116705	7767	3	251200	63	90139
5116704	7767	3	245600	63	90139
5116790	7767	3	182400	63	90141
5116789	7767	3	181800	63	90141
5116788	7767	3	181200	63	90141
5116787	7767	3	180600	63	90141
5116786	7767	3	180100	63	90141
5116696	7767	3	175200	63	90141
5116751	7767	3	174500	63	90141
5116694	7767	3	173800	63	90141
5116693	7767	3	173100	63	90141
5116692	7767	3	172400	63	90141
5116691	7767	3	171700	63	90141
5116690	7767	3	170900	63	90141
5116689	7767	3	170200	63	90141
5116688	7767	3	165500	63	90141
5116687	7767	3	164800	63	90141
5116686	7767	3	164100	63	90141
5116752	7767	3	163400	63	90141
5116684	7767	3	162700	63	90141
5116683	7767	3	162000	63	90141
5116682	7767	3	161300	63	90141
5116681	7767	3	160600	63	90141
5116680	7767	3	155900	63	90141
5116679	7767	3	155200	63	90141
5116678	7767	3	154500	63	90141
5116677	7767	3	153800	63	90141
5116637	7767	3	121000	63	90141
5116636	7767	3	120500	63	90141
5116635	7767	3	120000	63	90141
5116634	7767	3	115500	63	90141
5116633	7767	3	115000	63	90141
5116632	7767	3	114500	63	90141
5116631	7767	3	114000	63	90141
5116630	7767	3	113500	63	90141
5116629	7767	3	113000	63	90141
5116628	7767	3	112500	63	90141
5116627	7767	3	112000	63	90141
5116626	7767	3	111500	63	90141
5116625	7767	3	111000	63	90141
5116624	7767	3	110500	63	90141
5116623	7767	3	110000	63	90141
5116622	7767	3	105500	63	90141
5116621	7767	3	105000	63	90141
5116620	7767	3	104500	63	90141
5116619	7767	3	104000	63	90141
5116618	7767	3	103500	63	90141
5116617	7767	3	103000	63	90141
5116616	7767	3	102500	63	90141
5116615	7767	3	102000	63	90141
5116614	7767	3	101500	63	90141
5116613	7767	3	101000	63	90141
5116773	7767	3	242200	63	90141
5116756	7767	3	240200	63	90141
5116772	7767	3	234200	63	90141
5116771	7767	3	232200	63	90141
5116770	7767	3	230000	63	90141
5116769	7767	3	223800	63	90141
5116768	7767	3	221800	63	90141
5116767	7767	3	215800	63	90141
5116766	7767	3	214100	63	90141
5116765	7767	3	212600	63	90141
5116764	7767	3	211100	63	90141
5116763	7767	3	205600	63	90141
5116762	7767	3	204100	63	90141
5116761	7767	3	202500	63	90141
5116760	7767	3	201100	63	90141
5116759	7767	3	200000	63	90141
5116758	7767	3	194700	63	90141
5116757	7767	3	193500	63	90141
5116709	7767	3	192300	63	90141
5116755	7767	3	191400	63	90141
5116708	7767	3	190600	63	90141
5116754	7767	3	185800	63	90141
5116753	7767	3	185000	63	90141
5116795	7767	3	184400	63	90141
5116794	7767	3	183700	63	90141
5116793	7767	3	183100	63	90141
5116780	7767	3	54100	63	90141
5116779	7767	3	52900	63	90141
5116778	7767	3	51100	63	90141
5116777	7767	3	44200	63	90141
5116819	7767	3	181300	63	90142
5116695	7767	3	180600	63	90142
5116671	7767	3	175900	63	90142
5116670	7767	3	175200	63	90142
5116669	7767	3	174500	63	90142
5116668	7767	3	173800	63	90142
5116667	7767	3	173100	63	90142
5116666	7767	3	172400	63	90142
5116665	7767	3	171700	63	90142
5116664	7767	3	171000	63	90142
5116663	7767	3	170300	63	90142
5116662	7767	3	165600	63	90142
5116661	7767	3	164900	63	90142
5116660	7767	3	164200	63	90142
5116659	7767	3	163500	63	90142
5116658	7767	3	162800	63	90142
5116657	7767	3	162100	63	90142
5116656	7767	3	161400	63	90142
5116655	7767	3	160700	63	90142
5116654	7767	3	160000	63	90142
5116653	7767	3	155300	63	90142
5116676	7767	3	153100	63	90141
5116675	7767	3	152400	63	90141
5116651	7767	3	152100	63	90141
5116674	7767	3	151600	63	90141
5116673	7767	3	150900	63	90141
5116672	7767	3	150300	63	90141
5116818	7767	3	145500	63	90141
5116817	7767	3	145000	63	90141
5116816	7767	3	144500	63	90141
5116815	7767	3	144000	63	90141
5116814	7767	3	143500	63	90141
5116813	7767	3	143000	63	90141
5116812	7767	3	142500	63	90141
5116811	7767	3	142000	63	90141
5116810	7767	3	141500	63	90141
5116809	7767	3	141000	63	90141
5116808	7767	3	140500	63	90141
5116807	7767	3	140000	63	90141
5116806	7767	3	135500	63	90141
5116805	7767	3	135000	63	90141
5116804	7767	3	134500	63	90141
5116803	7767	3	134000	63	90141
5116802	7767	3	133500	63	90141
5116801	7767	3	133000	63	90141
5116800	7767	3	132500	63	90141
5116799	7767	3	132000	63	90141
5116798	7767	3	131500	63	90141
5116647	7767	3	131000	63	90141
5116775	7767	3	130500	63	90141
5116774	7767	3	130000	63	90141
5116646	7767	3	125500	63	90141
5116645	7767	3	125000	63	90141
5116644	7767	3	124500	63	90141
5116643	7767	3	124000	63	90141
5116642	7767	3	123500	63	90141
5116641	7767	3	123000	63	90141
5116640	7767	3	122500	63	90141
5116639	7767	3	122000	63	90141
5116638	7767	3	121500	63	90141
5116652	7767	3	154600	63	90142
5116650	7767	3	153100	63	90142
5116649	7767	3	152400	63	90142
5116648	7767	3	151700	63	90142
5116685	7767	3	93400	63	90142
5116796	7767	3	92600	63	90142
5116749	7767	3	91800	63	90142
5116730	7767	3	91000	63	90142
5116729	7767	3	90200	63	90142
5116728	7767	3	85400	63	90142
5116727	7767	3	84700	63	90142
5116726	7767	3	84000	63	90142
5116725	7767	3	83300	63	90142
5116724	7767	3	82600	63	90142
5116723	7767	3	81900	63	90142
5116722	7767	3	81200	63	90142
5116721	7767	3	80500	63	90142
5116720	7767	3	75800	63	90142
5116719	7767	3	75100	63	90142
5116718	7767	3	74400	63	90142
5116717	7767	3	73700	63	90142
5116716	7767	3	73000	63	90142
5116715	7767	3	72400	63	90142
5116714	7767	3	71700	63	90142
5116713	7767	3	71000	63	90142
5116612	7767	3	100500	63	90141
5116611	7767	3	100000	63	90141
5116610	7767	3	95500	63	90141
5116609	7767	3	95000	63	90141
5116608	7767	3	94500	63	90141
5116607	7767	3	94000	63	90141
5116606	7767	3	93500	63	90141
5116825	7767	3	93000	63	90141
5116824	7767	3	92500	63	90141
5116605	7767	3	92000	63	90141
5116797	7767	3	91200	63	90141
5116750	7767	3	90400	63	90141
5116731	7767	3	85600	63	90141
5116748	7767	3	84800	63	90141
5116747	7767	3	84000	63	90141
5116746	7767	3	83200	63	90141
5116745	7767	3	82500	63	90141
5116744	7767	3	81800	63	90141
5116743	7767	3	81100	63	90141
5116742	7767	3	80500	63	90141
5116741	7767	3	75800	63	90141
5116740	7767	3	75100	63	90141
5116739	7767	3	74400	63	90141
5116738	7767	3	73700	63	90141
5116737	7767	3	73000	63	90141
5116736	7767	3	72300	63	90141
5116735	7767	3	71600	63	90141
5116734	7767	3	71000	63	90141
5116733	7767	3	70400	63	90141
5116732	7767	3	65800	63	90141
5116712	7767	3	65100	63	90141
5116776	7767	3	64700	63	90141
5116792	7767	3	64000	63	90141
5116791	7767	3	63300	63	90141
5116785	7767	3	62600	63	90141
5116784	7767	3	61900	63	90141
5116783	7767	3	61100	63	90141
5116782	7767	3	60200	63	90141
5116781	7767	3	55300	63	90141
5118269	1002	3	170800	63	90146
5118268	1002	3	165600	63	90146
5118267	1002	3	164400	63	90146
5118283	1002	3	200800	63	90146
5118282	1002	3	195000	63	90146
5118281	1002	3	193500	63	90146
5118280	1002	3	192100	63	90146
5118279	1002	3	190800	63	90146
5118278	1002	3	185600	63	90146
5118277	1002	3	184400	63	90146
5118276	1002	3	183200	63	90146
5118275	1002	3	182000	63	90146
5118274	1002	3	180800	63	90146
5118273	1002	3	175600	63	90146
5118272	1002	3	174400	63	90146
5118271	1002	3	173200	63	90146
5118270	1002	3	172000	63	90146
5118266	1002	3	163200	63	90146
5118265	1002	3	162000	63	90146
5118264	1002	3	160800	63	90146
5118263	1002	3	155600	63	90146
5118262	1002	3	154300	63	90146
5118261	1002	3	152800	63	90146
5118260	1002	3	151100	63	90146
5118259	1002	3	145100	63	90146
5118258	1002	3	143100	63	90146
5118257	1002	3	141100	63	90146
5118256	1002	3	135100	63	90146
5118255	1002	3	133100	63	90146
5118254	1002	3	131100	63	90146
5118253	1002	3	125100	63	90146
5118252	1002	3	123100	63	90146
5118251	1002	3	121100	63	90146
5118250	1002	3	115100	63	90146
5118249	1002	3	113100	63	90146
5118248	1002	3	111100	63	90146
5118247	1002	3	105100	63	90146
5118246	1002	3	103100	63	90146
5118245	1002	3	101100	63	90146
5118244	1002	3	95100	63	90146
5118243	1002	3	93100	63	90146
5118242	1002	3	91900	63	90146
5118241	1002	3	90700	63	90146
5118240	1002	3	85500	63	90146
5118239	1002	3	84300	63	90146
5118238	1002	3	83100	63	90146
5118237	1002	3	81900	63	90146
5118236	1002	3	80700	63	90146
5118235	1002	3	75500	63	90146
5118234	1002	3	74300	63	90146
5118233	1002	3	73100	63	90146
5118232	1002	3	71900	63	90146
5118231	1002	3	70800	63	90146
5118294	1002	3	65500	63	90146
5118230	1002	3	64000	63	90146
5118229	1002	3	62000	63	90146
5118228	1002	3	60000	63	90146
5118227	1002	3	54000	63	90146
5118226	1002	3	52000	63	90146
5118179	1003	3	102500	63	90147
5118177	1003	3	100500	63	90147
5118176	1003	3	94500	63	90147
5118296	1003	3	234500	63	90147
5118223	1003	3	231500	63	90147
5118295	1003	3	224500	63	90147
5118222	1003	3	221500	63	90147
5118221	1003	3	215500	63	90147
5118220	1003	3	213500	63	90147
5118219	1003	3	211500	63	90147
5118218	1003	3	205500	63	90147
5118217	1003	3	203600	63	90147
5118216	1003	3	202000	63	90147
5118215	1003	3	200200	63	90147
5118214	1003	3	194600	63	90147
5118213	1003	3	193200	63	90147
5118212	1003	3	191900	63	90147
5118211	1003	3	190600	63	90147
5118210	1003	3	185400	63	90147
5118209	1003	3	184200	63	90147
5118208	1003	3	183000	63	90147
5118207	1003	3	181700	63	90147
5118206	1003	3	180600	63	90147
5118205	1003	3	175400	63	90147
5118204	1003	3	174200	63	90147
5118203	1003	3	173000	63	90147
5118202	1003	3	171800	63	90147
5118201	1003	3	170600	63	90147
5118200	1003	3	165400	63	90147
5118199	1003	3	164200	63	90147
5118198	1003	3	163000	63	90147
5118197	1003	3	161800	63	90147
5118196	1003	3	160600	63	90147
5118194	1003	3	155400	63	90147
5118195	1003	3	154000	63	90147
5118193	1003	3	152400	63	90147
