passengerID	OrigTAZ	DestTAZ	mode	timePeriod	direction	PAT
1	177	471	6	AM	1	397
2	29	18	6	AM	1	404
3	18	25	6	AM	1	458
4	25	281	6	AM	1	530
5	398	478	6	AM	1	503
6	1089	1063	6	AM	1	536
7	954	639	6	AM	1	563
8	397	30	6	AM	1	450
9	3764	144	6	AM	1	475
10	399	503	6	AM	1	445
11	3793	1586	6	AM	1	447
12	176	295	6	AM	1	429
13	385	134	6	AM	1	408
14	176	563	6	AM	1	489
15	398	564	6	AM	1	482
16	3800	529	6	AM	1	553
17	177	263	6	AM	1	517
18	20	475	6	AM	1	503
19	398	480	6	AM	1	496
20	352	264	6	AM	1	529
21	17	50	6	AM	1	363
22	647	1548	6	AM	1	562
23	397	553	6	AM	1	492
24	1495	398	6	AM	1	568
25	400	429	6	AM	1	503
26	17	25	6	AM	1	410
27	871	808	6	AM	1	430
28	621	625	6	AM	1	383
29	101	181	6	AM	1	484
30	176	282	6	AM	1	488
31	400	502	6	AM	1	553
32	3793	23	6	AM	1	452
33	1482	1494	6	AM	1	537
34	736	529	6	AM	1	537
35	398	335	6	AM	1	435
36	335	398	6	AM	1	484
37	398	131	6	AM	1	560
38	3800	1484	6	AM	1	487
39	1850	431	6	AM	1	439
40	3896	960	6	AM	1	499
41	1552	305	6	AM	1	435
42	1486	578	6	AM	1	466
43	17	285	6	AM	1	440
44	17	285	6	AM	1	530
45	3821	315	6	AM	1	515
46	177	480	6	AM	1	429
47	12	35	6	AM	1	466
48	20	127	6	AM	1	515
49	400	503	6	AM	1	515
50	17	21	6	AM	1	481
51	1485	628	6	AM	1	418
52	398	305	6	AM	1	445
53	12	370	6	AM	1	526
54	178	631	6	AM	1	471
55	176	556	6	AM	1	475
56	399	1956	6	AM	1	524
57	1728	386	6	AM	1	580
58	1868	48	6	AM	1	493
59	93	513	6	AM	1	563
60	327	199	6	AM	1	550
61	19	67	6	AM	1	510
62	3823	34	6	AM	1	447
63	128	433	6	AM	1	441
64	177	305	6	AM	1	496
65	865	794	6	AM	1	481
66	1483	714	6	AM	1	477
67	111	600	6	AM	1	576
68	565	736	6	AM	1	454
69	398	453	6	AM	1	454
70	599	1472	6	AM	1	441
71	398	574	6	AM	1	529
72	175	619	6	AM	1	551
73	1784	608	6	AM	1	485
74	96	312	6	AM	1	513
75	3856	1845	6	AM	1	411
76	398	627	6	AM	1	459
77	175	573	6	AM	1	518
78	3797	1509	6	AM	1	461
79	398	388	6	AM	1	462
80	17	126	6	AM	1	553
81	420	573	6	AM	1	406
82	1196	1247	6	AM	1	431
83	398	483	6	AM	1	495
84	863	1490	6	AM	1	488
85	3879	1976	6	AM	1	507
86	310	20	6	AM	1	524
87	87	467	6	AM	1	503
88	3799	1801	6	AM	1	499
89	564	370	6	AM	1	525
90	398	179	6	AM	1	413
91	398	1882	6	AM	1	549
92	438	260	6	AM	1	464
93	611	469	6	AM	1	434
94	36	465	6	AM	1	424
95	16	260	6	AM	1	495
96	90	221	6	AM	1	460
97	188	305	6	AM	1	488
98	16	100	6	AM	1	500
99	3793	503	6	AM	1	421
100	187	486	6	AM	1	483
101	398	430	6	AM	1	395
102	1186	524	6	AM	1	485
103	383	353	6	AM	1	514
104	383	264	6	AM	1	458
105	3859	509	6	AM	1	455
106	866	434	6	AM	1	404
107	434	379	6	AM	1	475
108	379	307	6	AM	1	544
109	1689	1961	6	AM	1	574
110	442	655	6	AM	1	414
111	3757	1182	6	AM	1	497
112	3781	1134	6	AM	1	483
113	452	1181	6	AM	1	578
114	1680	1587	6	AM	1	492
115	12	1904	6	AM	1	589
116	1870	91	6	AM	1	510
117	3798	1548	6	AM	1	440
118	3782	305	6	AM	1	477
119	3876	817	6	AM	1	496
120	864	561	6	AM	1	453
121	1672	373	6	AM	1	482
122	3822	529	6	AM	1	575
123	887	574	6	AM	1	534
124	192	1796	6	AM	1	506
125	177	529	6	AM	1	478
126	1175	500	6	AM	1	501
127	398	583	6	AM	1	429
128	398	454	6	AM	1	507
129	397	511	6	AM	1	394
130	397	325	6	AM	1	559
131	14	662	6	AM	1	585
132	14	37	6	AM	1	554
133	887	707	6	AM	1	555
134	397	972	6	AM	1	424
135	3822	503	6	AM	1	436
136	361	176	6	AM	1	465
137	3793	514	6	AM	1	435
138	3822	554	6	AM	1	522
139	95	184	6	AM	1	530
140	1934	1609	6	AM	1	542
141	3814	515	6	AM	1	446
142	13	183	6	AM	1	518
143	3819	804	6	AM	1	489
144	3798	520	6	AM	1	513
145	398	631	6	AM	1	422
146	13	246	6	AM	1	607
147	399	529	6	AM	1	547
148	553	11	6	AM	1	575
149	376	282	6	AM	1	445
150	282	376	6	AM	1	537
151	398	435	6	AM	1	458
152	1719	1700	6	AM	1	468
153	1480	1551	6	AM	1	445
154	1000	573	6	AM	1	593
155	222	3822	6	AM	1	479
156	3904	1355	6	AM	1	454
157	12	135	6	AM	1	582
158	1518	1584	6	AM	1	464
159	451	398	6	AM	1	516
160	1480	574	6	AM	1	578
161	1480	573	6	AM	1	445
162	867	782	6	AM	1	483
163	1674	1684	6	AM	1	400
164	1684	309	6	AM	1	486
165	3903	1581	6	AM	1	484
166	766	568	6	AM	1	545
167	3894	1409	6	AM	1	462
168	198	1545	6	AM	1	567
169	11	62	6	AM	1	441
170	62	126	6	AM	1	467
171	126	1013	6	AM	1	607
172	3793	239	6	AM	1	436
173	1170	305	6	AM	1	596
174	13	49	6	AM	1	554
175	400	537	6	AM	1	383
176	3815	49	6	AM	1	584
177	1494	541	6	AM	1	550
178	400	285	6	AM	1	488
179	398	305	6	AM	1	436
180	3808	1710	6	AM	1	442
181	398	524	6	AM	1	427
182	1934	1562	6	AM	1	447
183	14	648	6	AM	1	566
184	200	296	6	AM	1	537
185	3896	1413	6	AM	1	492
186	3793	566	6	AM	1	546
187	297	534	6	AM	1	533
188	3821	434	6	AM	1	505
189	14	1610	6	AM	1	576
190	797	956	6	AM	1	558
191	3793	439	6	AM	1	535
192	618	504	6	AM	1	496
193	202	289	6	AM	1	445
194	400	252	6	AM	1	513
195	29	2	6	AM	1	533
196	352	455	6	AM	1	458
197	557	550	6	AM	1	475
198	3811	1673	6	AM	1	457
199	5	1594	6	AM	1	530
200	201	567	6	AM	1	522
201	478	1545	6	AM	1	423
202	437	700	6	AM	1	497
203	492	638	6	AM	1	405
204	1795	1800	6	AM	1	455
205	201	299	6	AM	1	507
206	463	414	6	AM	1	529
207	296	503	6	AM	1	438
208	441	60	6	AM	1	546
209	3822	521	6	AM	1	498
210	3	1853	6	AM	1	465
211	1853	3	6	AM	1	496
212	300	381	6	AM	1	506
213	3824	3	6	AM	1	521
214	1459	1441	6	AM	1	422
215	3893	1909	6	AM	1	490
216	937	1413	6	AM	1	439
217	3812	1750	6	AM	1	424
218	299	305	6	AM	1	548
219	3812	1776	6	AM	1	473
220	3857	69	6	AM	1	535
221	3842	1124	6	AM	1	529
222	514	697	6	AM	1	493
223	370	584	6	AM	1	445
224	358	261	6	AM	1	434
225	3818	1897	6	AM	1	482
226	69	284	6	AM	1	514
